scenario,product,category,customer_type,user_activity,time_of_day,day_type,season,weather,discount,urgency,tone,emoji,notification
Lifecycle & Re10tion,Rose Thandai Kulfi,Kulfi,Returning,Inactive,Morning,Weekday,Spring,Cold,20%,Medium,Friendly,🍡,"Re-engage discount: 20 % off Rose Thandai Kulfi, because 35 days is long enough."
Social & Referral,Cookies n' Cream,Bakery Dessert,Loyal,Home Feed View,Late Night,Weekday,Spring,Sunny,50%,Low,Warm,🧁,Need dessert for a crowd this weekday? Cookies n' Cream in bulk has you covered.
Trends & Recommendations,Belgian Brownie Bites,Bakery Dessert,Premium,App Open,Night,Weekday,Monsoon,Hot,10%,High,Urgent,🧁,"If you liked your past orders, Belgian Brownie Bites is your next logical choice."
Cart & Purchase In10t,Banana Caramel Swirl,Ice Cream,Loyal,Cart idle 6h,Night,Weekend,Summer,Cloudy,0%,High,Funny,🍦,"Cart status update: Banana Caramel Swirl is still there after half a day, patiently."
Festivals & Occasions,Vanilla,Ice Cream,Loyal,App Open,Evening,Weekday,Summer,Hot,50%,Low,Funny,🍦,Occasions big and small taste better with Vanilla on the table.
Search & Discovery,Red Velvet Swirl,Ice Cream,Occasional,Search No Result,Late Night,Weekend,Spring,Cloudy,25%,Medium,Exciting,🍦,"We couldn't find that, but customers who searched similarly loved Red Velvet Swirl."
Cart & Purchase In10t,Black Currant,Ice Cream,Inactive,Cart idle 6h,Late Night,Weekend,Monsoon,Hot,25%,High,Exciting,🍦,Gentle nudge: Black Currant has been in checkout limbo for half a day.
Cart & Purchase In10t,Guava Chili Sorbet,Sorbet,Premium,Favoriting,Afternoon,Weekend,Spring,Cloudy,50%,High,Funny,🍧,Wishlist to cart: Guava Chili Sorbet is one step away from being ordered.
Time & Context,Belgian Chocolate,Ice Cream,New,App Open,Evening,Weekday,Summer,Rainy,Buy1Get1,High,Premium,🍦,Your evening deserves Belgian Chocolate before anything else.
Transactional,Dark Chocolate Truffle,Ice Cream,Loyal,Order Delivered,Morning,Weekend,Monsoon,Rainy,No Discount,Low,Friendly,🍦,Delivery done — Dark Chocolate Truffle is with you now. Enjoy every bite.
Search & Discovery,Mango Tango,Ice Cream,Inactive,Search Performed,Late Night,Weekend,Winter,Rainy,Buy1Get1,High,Minimal,🍦,Picking up where your search left off — Mango Tango fits the bill.
Discounts & Promotions,Gulab Jamun Cheesecake,Cheesecake,Inactive,Coupon Page View,Afternoon,Weekday,Monsoon,Cloudy,20%,Low,Exciting,🍰,"Coupon ready to use: 20 % off Gulab Jamun Cheesecake, expires soon."
Time & Context,Guava Chili Sorbet,Sorbet,Occasional,App Open,Afternoon,Weekday,Summer,Hot,40%,High,Luxury,🍧,Your afternoon deserves Guava Chili Sorbet before anything else.
Festivals & Occasions,Blue Velvet Cloud,Ice Cream,Occasional,Home Feed View,Night,Weekday,Autumn,Hot,0%,Medium,Exciting,🍦,National dessert day calls for exactly one thing: Blue Velvet Cloud.
Social & Referral,Gingerbread Kulfi Bar,Kulfi,New,Group Cart View,Morning,Weekend,Winter,Cloudy,20%,High,Playful,🍡,Group orders for Gingerbread Kulfi Bar get 20 % off when you hit 4+ people.
Product Launches,Black Currant,Ice Cream,Premium,Notify Me Clicked,Evening,Weekend,Summer,Sunny,40%,Low,Funny,🍦,"It kept selling out, so we restocked Black Currant — more units this time."
Discounts & Promotions,Sorbet Cup,Sorbet,Loyal,Coupon Page View,Night,Weekday,Spring,Cold,15%,Medium,Premium,🍧,Check your wallet — a 15 % coupon for Sorbet Cup is sitting there.
Transactional,Butterscotch Pecan,Ice Cream,New,Order Placed,Afternoon,Weekday,Autumn,Hot,No Discount,Low,Playful,🍦,We have your Butterscotch Pecan order. The kitchen is on it.
Discounts & Promotions,Coffee Toffee Crunch,Ice Cream,Premium,App Open,Late Night,Weekend,Monsoon,Rainy,Free Delivery,Low,Luxury,🍦,"We're covering your delivery cost today for Coffee Toffee Crunch, no strings attached."
Transactional,Saffron Pistachio Kulfi Bar,Kulfi,Occasional,Order Placed,Evening,Weekday,Summer,Cold,No Discount,Low,Playful,🍡,Saffron Pistachio Kulfi Bar order confirmed. We'll keep you posted as it moves.
Trends & Recommendations,Mint Chocolate Chip,Ice Cream,Occasional,Home Feed View,Evening,Weekend,Monsoon,Rainy,20%,Medium,Premium,🍦,Can't ignore it — Mint Chocolate Chip is selling like crazy in Chennai this monsoon.
Transactional,Premium Tiramisu Jar,Jar Dessert,Occasional,Order Placed,Evening,Weekday,Spring,Rainy,No Discount,Low,Friendly,🍮,Premium Tiramisu Jar order confirmed. We'll keep you posted as it moves.
App Updates,Lychee Rose,Ice Cream,Returning,App Open,Late Night,Weekend,Spring,Rainy,No Discount,Low,Premium,🍦,Delivery just opened up in more of Kolkata — Lychee Rose can now reach you.
Lifecycle & Re10tion,Chocolate Brownie Ice Cream,Bakery Dessert,Premium,App Open,Morning,Weekday,Summer,Cold,20%,Low,Exciting,🧁,You're on a 9-week winning streak. Don't drop it now — order Chocolate Brownie Ice Cream.
Cart & Purchase In10t,Dark Chocolate Truffle,Ice Cream,Returning,Wishlist View,Afternoon,Weekend,Spring,Hot,25%,Medium,Funny,🍦,Your Dark Chocolate Truffle wishlist item is calling. Today a good day to order?
Cart & Purchase In10t,Falooda,Beverage Dessert,Premium,Wishlist View,Late Night,Weekend,Spring,Rainy,Free Delivery,Low,Warm,🥛,That Falooda you hearted earlier is still available.
Discounts & Promotions,Mango Chili Sorbet,Sorbet,New,App Open,Afternoon,Weekday,Summer,Cloudy,Free Delivery,Low,Funny,🍧,"We're covering your delivery cost today for Mango Chili Sorbet, no strings attached."
Social & Referral,Coffee Toffee Crunch,Ice Cream,Premium,Home Feed View,Afternoon,Weekend,Autumn,Cloudy,40%,Low,Exciting,🍦,Hosting a gathering? Coffee Toffee Crunch party packs ship in bulk.
Time & Context,Tiramisu Jar,Jar Dessert,Loyal,App Open,Evening,Weekend,Summer,Hot,10%,Low,Urgent,🍮,Set a sweet tone for your day — Tiramisu Jar this evening.
Cart & Purchase In10t,Vanilla,Ice Cream,Returning,Browsing,Evening,Weekday,Summer,Cold,No Discount,Medium,Warm,🍦,Back in stock and ready: Vanilla is available to order again right now.
Cart & Purchase In10t,Coffee Toffee Crunch,Ice Cream,Returning,App Open,Morning,Weekend,Autumn,Hot,Buy1Get1,High,Luxury,🍦,"Instant reorder waiting for you: Coffee Toffee Crunch, ready to confirm."
Product Launches,Triple Scoop Sundae,Sundae,Premium,Home Feed View,Evening,Weekday,Autumn,Rainy,25%,Low,Warm,🍨,Catch Triple Scoop Sundae while you can — it's a limited edition release.
Search & Discovery,Blue Velvet Cloud,Ice Cream,Inactive,Search No Result,Afternoon,Weekday,Autumn,Rainy,15%,Medium,Luxury,🍦,"We couldn't find that, but customers who searched similarly loved Blue Velvet Cloud."
Trends & Recommendations,Gulab Jamun Cheesecake,Cheesecake,Occasional,Home Feed View,Morning,Weekend,Summer,Cold,Buy1Get1,High,Friendly,🍰,Word is spreading fast about Gulab Jamun Cheesecake in Hyderabad.
Social & Referral,Chocolate Pastry,Bakery Dessert,Occasional,Group Cart View,Night,Weekend,Winter,Cloudy,15%,High,Exciting,🧁,Bring the squad — group Chocolate Pastry orders save everyone 15 %.
Social & Referral,Mint Chocolate,Ice Cream,Returning,Home Feed View,Late Night,Weekend,Summer,Sunny,10%,Low,Exciting,🍦,Need dessert for a crowd this weekend? Mint Chocolate in bulk has you covered.
App Updates,Salted Caramel Brownie,Bakery Dessert,Occasional,App Open,Morning,Weekend,Autumn,Cold,0%,Low,Premium,🧁,App feature drop — split payments now work on all Salted Caramel Brownie orders.
Time & Context,Red Velvet,Ice Cream,Inactive,App Open,Evening,Weekend,Autumn,Hot,10%,Low,Minimal,🍦,This weekend in Mumbai has Red Velvet writ10 all over it.
Lifecycle & Re10tion,Cookie Dough Delight,Bakery Dessert,New,Order Delivered,Night,Weekday,Summer,Rainy,0%,Medium,Funny,🧁,We'd value your thoughts on Cookie Dough Delight — quick rating in the app?
Cart & Purchase In10t,Pistachio Rose,Ice Cream,Inactive,Cart idle 6h,Night,Weekend,Autumn,Sunny,15%,High,Warm,🍦,Your Pistachio Rose cart item has been uncollected for a few hours. Still yours if you want it.
Cart & Purchase In10t,Dark Chocolate Truffle,Ice Cream,Returning,Browsing,Morning,Weekend,Winter,Sunny,20%,Medium,Friendly,🍦,Back in stock and ready: Dark Chocolate Truffle is available to order again right now.
Cart & Purchase In10t,Cardamom Saffron,Ice Cream,Occasional,Cart idle 6h,Morning,Weekday,Autumn,Cold,50%,High,Playful,🍦,Just checking — did you mean to leave Cardamom Saffron behind for most of the day?
Transactional,Vanilla Bean,Ice Cream,Returning,Order Dispatched,Afternoon,Weekday,Spring,Cold,0%,Medium,Warm,🍦,"En route now: Vanilla Bean, arriving in approximately 11 minutes."
Transactional,Gingerbread Kulfi Bar,Kulfi,Returning,Order Delivered,Morning,Weekday,Winter,Cloudy,0%,Low,Luxury,🍡,Your Gingerbread Kulfi Bar just got delivered in Kolkata. Dig in!
Time & Context,Butterscotch Pecan,Ice Cream,Loyal,App Open,Night,Weekday,Autumn,Hot,Buy1Get1,High,Exciting,🍦,This weekday in Delhi has Butterscotch Pecan writ10 all over it.
Trends & Recommendations,Lychee Rose,Ice Cream,New,App Open,Afternoon,Weekday,Winter,Rainy,40%,High,Playful,🍦,Our system says Lychee Rose is a great next step for someone with your order history.
Time & Context,Mini Brownie Bites,Bakery Dessert,Loyal,App Open,Morning,Weekday,Autumn,Hot,No Discount,Medium,Exciting,🧁,Your morning deserves Mini Brownie Bites before anything else.
Product Launches,Lotus Biscoff Tart,Bakery Dessert,Inactive,Home Feed View,Evening,Weekday,Summer,Rainy,0%,Medium,Friendly,🧁,Catch Lotus Biscoff Tart while you can — it's a limited edition release.
Search & Discovery,Chocolate Pastry,Bakery Dessert,Returning,Search No Result,Morning,Weekend,Autumn,Rainy,0%,Medium,Premium,🧁,"No exact match found, but Chocolate Pastry comes pretty close to what you wanted."
Transactional,Mango Cheesecake Jar,Cheesecake,New,Payment Attempted,Night,Weekend,Winter,Cold,No Discount,High,Exciting,🍰,Mango Cheesecake Jar order on hold: payment failed. Tap to retry now.
Festivals & Occasions,Chocolate Brownie Ice Cream,Bakery Dessert,Loyal,Home Feed View,Afternoon,Weekend,Autumn,Cloudy,Buy1Get1,High,Premium,🧁,Make Valentine's Day a little sweeter this year with Chocolate Brownie Ice Cream at Buy1Get1 off.
Transactional,Premium Tiramisu Jar,Jar Dessert,Occasional,Order Dispatched,Night,Weekend,Winter,Sunny,No Discount,Medium,Exciting,🍮,"En route now: Premium Tiramisu Jar, arriving in approximately 19 minutes."
Product Launches,Mango Cheesecake Jar,Cheesecake,New,Home Feed View,Night,Weekend,Autumn,Sunny,Free Delivery,Medium,Exciting,🍰,"This batch of Mango Cheesecake Jar won't stick around. First come, first served."
Cart & Purchase In10t,Nutella Brownie,Bakery Dessert,Inactive,Cart Saved,Night,Weekday,Spring,Cloudy,30%,Medium,Minimal,🧁,We lowered the price on Nutella Brownie by 30 %. Your move.
Search & Discovery,Mango Cheesecake Jar,Cheesecake,Loyal,Search No Result,Morning,Weekend,Autumn,Sunny,50%,High,Urgent,🍰,Search came up empty — Mango Cheesecake Jar is our best suggestion for that craving.
Product Launches,Lotus Biscoff Tart,Bakery Dessert,Premium,Notify Me Clicked,Morning,Weekday,Autumn,Rainy,30%,Medium,Friendly,🧁,"It kept selling out, so we restocked Lotus Biscoff Tart — more units this time."
Discounts & Promotions,Falooda,Beverage Dessert,Returning,App Open,Afternoon,Weekend,Spring,Hot,25%,Medium,Premium,🥛,Reward unlocked: 25 % off your next Falooda for being a regular.
Transactional,Hazelnut Praline,Ice Cream,Returning,Order Placed,Afternoon,Weekday,Monsoon,Rainy,0%,Low,Luxury,🍦,Order placed successfully — Hazelnut Praline prep starts now.
Search & Discovery,Roasted Almond Fudge,Ice Cream,Inactive,Search No Result,Morning,Weekend,Spring,Hot,30%,Low,Exciting,🍦,Search came up empty — Roasted Almond Fudge is our best suggestion for that craving.
Lifecycle & Re10tion,Mini Brownie Bites,Bakery Dessert,Premium,Inactive,Afternoon,Weekend,Winter,Cloudy,15%,Medium,Warm,🧁,19 days without an order. Here's 15 % off Mini Brownie Bites to make it easy.
Time & Context,Guava Chili Sorbet,Sorbet,Returning,App Open,Late Night,Weekend,Winter,Sunny,No Discount,Medium,Premium,🍧,Set a sweet tone for your day — Guava Chili Sorbet this late night.
Time & Context,Chocolate Shake,Shake,Loyal,App Open,Late Night,Weekday,Spring,Cold,Buy1Get1,High,Funny,🥤,Looking out at cold skies in Bengaluru? Chocolate Shake makes it better.
Trends & Recommendations,Mini Brownie Bites,Bakery Dessert,Inactive,Home Feed View,Evening,Weekday,Monsoon,Rainy,Buy1Get1,Medium,Warm,🧁,"Since this evening, 87 orders of Mini Brownie Bites have come in from Kolkata."
App Updates,Coffee Caramel Swirl,Ice Cream,Loyal,App Open,Late Night,Weekday,Winter,Hot,0%,Low,Urgent,🍦,App feature drop — split payments now work on all Coffee Caramel Swirl orders.
Festivals & Occasions,Tricolor Kulfi Bar,Kulfi,Inactive,Home Feed View,Late Night,Weekend,Autumn,Sunny,15%,High,Luxury,🍡,The calendar says celebrate with dessert — we say Tricolor Kulfi Bar.
Product Launches,Mint Chocolate,Ice Cream,New,Home Feed View,Evening,Weekend,Spring,Cloudy,No Discount,Medium,Luxury,🍦,The Mint Chocolate era begins now — it just launched in Chennai.
Lifecycle & Re10tion,Vanilla,Ice Cream,Returning,First App Open,Afternoon,Weekday,Autumn,Cloudy,25%,Medium,Friendly,🍦,You're new here — Vanilla with 25 % off is a great way to start.
Discounts & Promotions,Nutella Stuffed Croissant,Bakery Dessert,New,Subscription Page View,Evening,Weekend,Winter,Cold,20%,High,Luxury,🧁,Recurring Nutella Stuffed Croissant orders just got 20 % cheaper with a subscription.
Trends & Recommendations,Belgian Brownie Bites,Bakery Dessert,New,Home Feed View,Morning,Weekday,Monsoon,Rainy,10%,Low,Playful,🧁,Fun fact: 52 people in Hyderabad ordered Belgian Brownie Bites just today.
Lifecycle & Re10tion,Black Forest Pastry,Bakery Dessert,New,App Open,Morning,Weekend,Winter,Rainy,0%,Low,Playful,🧁,5 consecutive weeks! Black Forest Pastry keeps the streak alive.
Product Launches,Guava Chili Sorbet,Sorbet,Occasional,Home Feed View,Late Night,Weekday,Summer,Sunny,Buy1Get1,High,Premium,🍧,Catch Guava Chili Sorbet while you can — it's a limited edition release.
Cart & Purchase In10t,Mint Chocolate,Ice Cream,Premium,Wishlist View,Evening,Weekday,Summer,Rainy,40%,Medium,Luxury,🍦,Wishlist to cart: Mint Chocolate is one step away from being ordered.
Discounts & Promotions,Choco Lava Cupcakes,Bakery Dessert,Occasional,App Open,Morning,Weekday,Monsoon,Sunny,Free Delivery,High,Friendly,🧁,Delivery is free right now — no minimum needed for Choco Lava Cupcakes.
Search & Discovery,Petrichor Pistachio,Ice Cream,Premium,Scrolled Category,Night,Weekday,Summer,Sunny,Free Delivery,High,Minimal,🍦,We noticed Petrichor Pistachio on your recent browses — should we add it to your cart?
Lifecycle & Re10tion,Choco Chip Cookie Sandwich,Bakery Dessert,Returning,First App Open,Morning,Weekend,Summer,Hot,15%,High,Friendly,🧁,You're new here — Choco Chip Cookie Sandwich with 15 % off is a great way to start.
Transactional,Pistachio Rose,Ice Cream,Premium,Payment Attempted,Evening,Weekend,Monsoon,Cloudy,No Discount,High,Friendly,🍦,Couldn't complete your Pistachio Rose payment — try a different method?
Cart & Purchase In10t,Nutella Stuffed Croissant,Bakery Dessert,Premium,Browsing,Evening,Weekday,Summer,Cloudy,15%,Medium,Funny,🧁,We lowered the price on Nutella Stuffed Croissant by 15 %. Your move.
Time & Context,Guava Chili Sorbet,Sorbet,Inactive,App Open,Night,Weekday,Summer,Cloudy,10%,Medium,Minimal,🍧,This weekday in Bengaluru has Guava Chili Sorbet writ10 all over it.
Social & Referral,Red Velvet Cheesecake Bites,Cheesecake,Premium,Home Feed View,Afternoon,Weekend,Summer,Hot,25%,Low,Urgent,🍰,Hosting a gathering? Red Velvet Cheesecake Bites party packs ship in bulk.
App Updates,Strawberry Cheesecake,Cheesecake,Returning,App Open,Morning,Weekend,Autumn,Hot,0%,Low,Friendly,🍰,Expansion news: more of Kolkata gets Strawberry Cheesecake delivery starting today.
Cart & Purchase In10t,Coffee Caramel Swirl,Ice Cream,Inactive,Order History View,Evening,Weekend,Monsoon,Cloudy,15%,Medium,Minimal,🍦,"Quick reorder: Coffee Caramel Swirl, everything exactly the same as last time."
Product Launches,Saffron Pistachio Kulfi Bar,Kulfi,New,Home Feed View,Afternoon,Weekday,Winter,Cold,10%,Low,Exciting,🍡,The Saffron Pistachio Kulfi Bar era begins now — it just launched in Pune.
Trends & Recommendations,Cardamom Saffron,Ice Cream,Premium,App Open,Afternoon,Weekend,Autumn,Hot,Buy1Get1,Low,Warm,🍦,"If you liked your past orders, Cardamom Saffron is your next logical choice."
Product Launches,Falooda,Beverage Dessert,Inactive,Home Feed View,Evening,Weekday,Summer,Sunny,No Discount,High,Luxury,🥛,Menu just got bigger: say hello to Falooda.
Trends & Recommendations,Roasted Almond Fudge,Ice Cream,Inactive,App Open,Evening,Weekday,Monsoon,Hot,25%,High,Premium,🍦,Word is spreading fast about Roasted Almond Fudge in Pune.
Trends & Recommendations,Oreo Sundae,Sundae,Premium,Order History View,Night,Weekday,Winter,Sunny,30%,Low,Funny,🍨,Recommendation engine approved: Oreo Sundae matches your preferences.
Product Launches,Roasted Almond Fudge,Ice Cream,Premium,Home Feed View,Morning,Weekday,Summer,Hot,Free Delivery,Low,Warm,🍦,New combo just built around Roasted Almond Fudge — check it out.
Search & Discovery,Choco Lava Brownie,Bakery Dessert,New,Category Browse,Late Night,Weekday,Autumn,Cold,15%,Medium,Warm,🧁,Customers in Delhi who explored this section always end up with Choco Lava Brownie.
Trends & Recommendations,Nutella Stuffed Croissant,Bakery Dessert,Loyal,Order History View,Evening,Weekday,Autumn,Sunny,10%,Low,Luxury,🧁,"If you liked your past orders, Nutella Stuffed Croissant is your next logical choice."
Search & Discovery,Salted Caramel Brownie,Bakery Dessert,Inactive,Search No Result,Evening,Weekday,Autumn,Cloudy,15%,Low,Urgent,🧁,"We couldn't find that, but customers who searched similarly loved Salted Caramel Brownie."
